symbol,code,name,date,open,high,low,close,volume
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-10,556.89,557.3,552.75,555.45,34710913.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-11,553.3,555.79,552.05,554.2,39618635.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-14,553.99,556.945,551.63,556.21,36453314.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-15,560.25,560.8,556.66,556.72,43277661.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-16,557.28,560.21,551.56,557.29,52314711.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-17,558.02,562.31,557.21,561.8,40423778.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-18,563.12,564.7262,559.98,561.26,50484704.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-21,562.09,566.06,562.06,564.17,39595214.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-22,564.3,564.35,558.61,561.25,43270647.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-23,562.34,563.85,559.58,563.81,40215259.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-24,565.13,566.24,563.295,565.01,42275541.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-25,564.93,567.695,564.27,566.37,30630813.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-28,567.74,569.04,566.87,568.14,31498739.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-29,570.76,572.11,566.53,567.26,45463317.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-30,568.18,570.62,565.05,568.02,43433777.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-07-31,574.54,574.63,563.87,565.01,64613590.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-01,558.83,559.02,551.68,553.88,69400789.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-04,559.05,564.315,558.95,564.1,47669751.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-05,565.39,566.5607,559.73,560.27,48666640.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-06,561.11,567.76,560.63,567.32,41823677.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-07,571.67,573.32,565.11,569.24,44462972.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-08,570.45,574.77,570.15,574.55,35255472.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-11,574.69,576.8,571.57,572.85,33112917.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-12,575.16,580.35,572.485,580.05,42271441.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-13,582.76,583.3199,578.94,580.34,41209294.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-14,578.28,581.88,577.91,579.89,45425043.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-15,579.8,579.84,575.5743,577.34,49480161.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-18,576.44,577.765,575.2412,577.11,29830957.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-19,576.39,576.56,568.25,569.28,53752635.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-20,568.33,568.45,558.84,565.9,76781087.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-21,564.35,566.49,560.98,563.28,46436899.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-22,564.67,573.99,563.27,571.97,51502129.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-25,570.4,573.2871,569.16,570.32,34044749.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-26,569.83,572.92,568.8,572.61,34103014.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-27,571.59,574.405,570.37,573.49,36927144.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-28,574.11,578.0,572.46,577.08,46787857.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-08-29,574.655,575.03,568.54,570.4,56030409.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-02,561.31,565.965,559.535,565.62,65876765.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-03,569.23,571.695,566.725,570.07,54230213.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-04,570.74,575.6,569.025,575.23,47526280.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-05,580.49,581.12,571.53,576.06,68342532.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-08,578.37,580.84,577.77,578.87,46371354.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-09,579.67,580.94,577.04,580.51,44007592.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-10,583.74,583.77,578.55,580.7,49307959.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-11,583.24,584.88,581.62,584.08,44745766.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-12,585.04,587.86,584.1,586.66,50745886.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-15,588.44,591.79,588.295,591.68,44360315.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-16,592.61,592.86,590.49,591.18,36942130.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-17,591.1,591.75,584.365,590.0,69384820.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-18,594.91,598.14,592.96,595.32,61069294.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-19,597.33,600.05,595.85,599.35,58196109.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-22,597.74,602.87,597.72,602.2,57154769.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-23,602.37,602.57,596.98,598.2,64635486.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-24,599.58,599.9,593.36,596.1,49850301.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-25,592.2,595.115,588.5,593.53,70920209.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-26,594.35,596.3,591.06,595.97,54337416.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-29,599.11,602.05,597.41,598.73,48332934.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-09-30,598.43,600.71,596.1,600.37,46533814.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-01,597.17,603.79,596.34,603.25,46899612.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-02,607.06,607.16,602.93,605.73,43765410.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-03,606.51,607.3255,601.385,603.18,46482098.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-06,608.45,609.36,605.97,607.71,41962115.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-07,609.02,609.71,603.03,604.51,58209463.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-08,605.41,611.75,605.26,611.44,50629754.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-09,611.48,611.61,607.48,610.7,45550958.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-10,611.4,613.18,589.05,589.5,97614783.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-13,599.68,602.95,597.23,602.01,65872584.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-14,595.31,602.69,590.13,598.0,69203187.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-15,604.01,606.7,595.93,602.22,62805456.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-16,605.11,608.31,595.5,599.99,70981963.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-17,597.95,605.51,596.37,603.93,72024872.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-20,607.14,612.8,607.065,611.54,45761697.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-21,611.64,612.7213,609.32,611.38,44538161.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-22,610.82,611.41,599.74,605.49,61478802.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-23,604.91,611.37,604.52,610.58,42844298.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-24,615.99,618.42,615.13,617.1,47632473.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-27,624.52,628.55,624.03,628.09,54098611.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-28,630.36,634.68,629.25,632.92,61195733.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-29,635.59,637.01,630.25,635.77,67422806.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-30,632.17,633.5,625.94,626.05,61628621.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-10-31,634.17,634.2,626.69,629.07,66305147.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-03,635.11,635.82,629.85,632.08,37154307.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-04,623.28,626.95,618.455,619.25,63830768.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-05,618.49,626.6,617.21,623.28,48688484.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-06,621.79,622.04,610.3,611.67,72115128.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-07,608.31,609.95,598.67,609.74,81835388.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-10,618.92,624.31,616.89,623.23,55919931.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-11,620.57,622.72,617.52,621.57,44868841.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-12,624.84,624.86,617.81,621.08,47444384.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-13,617.54,618.12,606.08,608.4,71333634.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-14,599.55,613.35,597.17,608.86,80087291.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-17,606.3,612.48,599.87,603.66,63850367.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-18,599.62,602.31,591.34,596.31,83327279.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-19,597.07,606.16,594.59,599.87,73111487.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-20,611.62,614.03,584.75,585.67,117743195.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-21,587.47,596.98,580.74,590.07,103344155.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-24,595.28,606.68,595.16,605.16,60168149.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-25,603.51,610.2601,597.32,608.89,57560867.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-26,612.51,616.19,610.39,614.27,42393598.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-11-28,616.11,619.32,615.4174,619.25,23034394.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-01,613.63,619.4401,612.52,617.17,40957588.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-02,619.46,623.75,617.59,622.0,54541834.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-03,619.62,624.22,618.03,623.52,47841627.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-04,624.93,624.94,619.54,622.94,47067751.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-05,624.38,628.92,623.71,625.48,53614169.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-08,627.21,628.84,621.69,624.28,43462406.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-09,623.01,625.87,621.0,625.05,37155999.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-10,623.85,629.21,620.99,627.61,55031384.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-11,623.82,625.78,617.72,625.58,58272844.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-12,622.08,623.54,611.36,613.62,75158726.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-15,618.37,618.42,609.32,610.54,49538197.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-16,608.26,613.51,606.9101,611.75,55152819.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-17,613.06,613.65,600.28,600.41,70654327.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-18,609.8,612.93,606.92,609.11,78875824.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-19,611.95,617.62,611.87,617.05,60369829.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-22,621.35,621.65,617.77,619.21,43703101.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-23,618.2,622.41,617.78,622.11,41120445.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-24,621.99,624.28,621.72,623.93,18468707.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-26,624.66,625.515,623.14,623.89,28959778.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-29,620.1,622.78,618.73,620.87,32458308.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-30,619.84,622.18,619.215,619.43,31226754.0
QQQ,US.QQQ,Invesco QQQ Trust,2025-12-31,619.65,619.96,614.05,614.31,40746527.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-02,620.06,622.85,610.15,613.12,61859163.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-05,619.32,620.81,616.72,617.99,46828359.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-06,619.23,624.0213,618.54,623.42,43137520.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-07,623.04,627.94,622.56,624.02,44880339.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-08,623.03,623.42,617.8,620.47,50435941.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-09,621.41,627.89,619.06,626.65,49688734.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-12,622.31,628.845,622.26,627.17,37388651.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-13,627.27,629.47,623.695,626.24,44481380.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-14,622.24,623.45,614.56,619.55,72598700.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-15,626.6,630.0,620.75,621.78,53934892.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-16,625.5,626.08,618.88,621.26,61058094.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-20,610.53,615.055,607.05,608.06,81988898.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-21,609.47,620.42,607.8635,616.28,79837881.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-22,622.35,622.46,617.78,620.76,42254757.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-23,619.73,625.3999,618.65,622.72,43645825.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-26,623.21,627.61,622.12,625.46,35983008.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-27,628.91,632.0427,627.34,631.13,38997212.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-28,635.46,636.6,631.81,633.22,50691691.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-29,632.65,633.67,618.27,629.43,79944047.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-01-30,625.71,628.256,619.2975,621.87,65650714.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-02,618.7,628.49,618.66,626.14,49020292.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-03,628.3,629.98,610.96,616.52,81233969.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-04,615.02,615.1,600.47,605.75,81850748.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-05,600.21,604.81,594.76,597.03,89354492.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-06,600.19,611.41,598.77,609.65,78019338.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-09,607.54,616.46,605.07,614.32,56797557.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-10,615.305,617.02,611.01,611.47,53938859.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-11,616.38,617.52,607.69,613.11,58575101.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-12,614.71,615.81,599.5699,600.64,81378903.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-13,600.43,606.48,596.42,601.92,69237547.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-17,598.375,603.95,593.34,601.3,69013763.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-18,602.11,609.771,600.72,605.79,64250668.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-19,602.81,605.815,600.75,603.47,60960839.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-20,600.12,610.35,599.23,608.81,74127323.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-23,606.605,608.01,599.05,601.41,63859111.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-24,602.4,608.99,599.73,607.87,55023732.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-25,611.07,616.83,611.0,616.68,55710653.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-26,615.59,615.59,603.98,609.24,96178870.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-02-27,602.98,608.32,602.19,607.29,68125196.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-02,598.86,609.92,597.99,608.09,75264644.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-03,596.33,603.96,591.87,601.58,97015532.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-04,604.16,612.88,603.43,610.75,70943888.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-05,607.4,612.76,602.26,608.91,89602407.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-06,600.31,606.0,598.33,599.75,86302307.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-09,594.225,609.27,591.33,607.76,93068170.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-10,607.78,613.29,605.42,607.77,64078867.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-11,608.95,612.43,605.03,607.69,60114800.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-12,602.76,604.14,597.05,597.26,71836629.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-13,599.73,603.5999,592.57,593.72,63145490.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-16,600.04,603.86,599.11,600.38,49077155.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-17,603.14,605.9,601.87,603.31,47106607.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-18,601.49,603.16,594.56,594.9,56127962.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-19,589.51,595.8,587.08,593.02,75597578.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-20,591.06,591.17,578.54,582.06,91964677.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-23,590.52,595.08,585.96,588.0,89936118.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-24,584.81,587.93,581.93,583.98,57750895.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-25,589.14,591.37,585.69,587.82,60475491.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-26,582.6,584.63,573.43,573.79,81492124.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-27,570.81,571.02,561.57,562.58,82702240.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-30,567.38,568.05,555.6,558.28,70602622.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-03-31,564.29,578.64,564.21,577.18,95877997.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-01,581.48,587.739,580.42,584.31,79435132.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-02,573.97,586.05,571.92,584.98,50941709.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-06,586.23,590.61,584.69,588.5,35108496.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-07,585.64,588.98,578.4001,588.59,49948195.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-08,608.71,609.9,602.12,606.09,63085996.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-09,605.93,610.5,603.03,610.19,37837538.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-10,611.84,613.67,609.58,611.07,34038533.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-13,609.48,626.74,608.11,617.39,32972110.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-14,620.22,628.6,620.1,628.6,49921081.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-15,629.08,637.83,628.2,637.4,50102386.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-16,639.21,642.18,635.255,640.47,42320581.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-17,645.59,650.0,644.07,648.85,53488871.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-20,648.04,648.76,642.52,646.79,37138511.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-21,648.41,650.2,642.21,644.33,39580523.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-22,650.15,655.33,648.52,655.11,37368402.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-23,653.55,656.92,645.52,651.42,40099827.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-24,658.51,664.51,656.5301,663.88,45563050.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-27,663.4,664.43,660.69,664.23,32717030.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-28,657.41,659.64,653.81,657.55,34147916.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-29,658.63,661.72,656.5899,661.57,31724860.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-04-30,665.35,668.9,657.56,667.74,40622226.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-01,669.16,675.97,668.8,674.15,39172607.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-04,674.66,676.73,668.9,672.88,34541990.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-05,677.96,682.7734,677.51,681.61,37101063.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-06,687.78,695.93,686.48,695.77,38778492.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-07,696.58,701.24,691.77,694.94,43779087.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-08,699.92,711.23,699.5,711.23,44320421.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-11,710.36,714.59,708.91,713.29,36019146.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-12,708.22,710.18,696.64,707.24,45873009.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-13,709.96,716.65,704.83,714.71,40012526.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-14,714.62,722.03,714.22,719.79,33327545.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-15,710.14,715.13,705.55,708.93,51792656.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-18,711.54,712.07,698.85,705.88,49834549.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-19,699.81,706.49,695.25,701.53,46827529.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-20,705.29,713.15,703.79,713.15,36779222.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-21,708.99,717.12,706.77,714.51,36415360.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-22,718.07,722.12,715.95,717.54,33118575.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-26,725.96,731.17,724.16,730.28,34254692.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-27,732.96,733.32,725.44,729.45,35148674.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-28,729.73,736.6,726.41,735.6,32839952.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-05-29,737.84,741.63,735.25,738.31,37541668.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-01,737.04,745.65,735.99,742.74,33890559.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-02,742.4,746.44,739.23,746.16,30085237.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-03,747.31,748.65,741.01,744.21,40270198.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-04,735.48,743.4988,732.62,740.61,40782580.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-05,730.06,731.69,704.32,705.06,99606571.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-08,717.81,723.03,713.07,716.07,47401451.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-09,722.98,725.66,686.37,707.83,91932171.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-10,701.66,711.28,692.93,693.69,65334283.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-11,699.29,718.3721,695.0,717.12,71798857.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-12,717.61,724.01,711.28,721.34,51236021.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-15,738.1,744.7599,737.38,744.0,46710216.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-16,742.25,744.22,729.64,729.86,45348675.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-17,735.19,735.68,720.85,722.51,51669322.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-18,737.2,741.82,732.51,740.62,50154595.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-22,742.02,745.45,734.39,737.95,43518595.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-23,715.74,723.61,712.1101,713.65,53354151.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-24,715.37,719.93,704.45,710.62,52480437.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-25,725.9,726.83,705.3,716.38,50144089.0
QQQ,US.QQQ,Invesco QQQ Trust,2026-06-26,707.13,715.555,702.81,706.52,47081821.0
